data-hora,user_2letras,uf
31/03/2018 09:07:31,pp,SP
02/04/2018 10:09:57,sm,RS
02/04/2018 16:10:14,sa,RS
02/04/2018 16:31:04,fe,CE
02/04/2018 16:43:46,na,SP
02/04/2018 17:16:55,to,SC
02/04/2018 23:18:10,ht,MG
02/04/2018 23:29:42,má,RJ
03/04/2018 12:12:10,ra,PE
03/04/2018 17:35:06,an,RS
03/04/2018 19:31:47,al,RS
04/04/2018 11:21:08,wi,BA
04/04/2018 12:08:12,lu,BA
04/04/2018 17:16:42,le,BA
04/04/2018 18:57:23,op,MG
05/04/2018 08:34:15,ic,RJ
05/04/2018 10:50:33,ma,SP
05/04/2018 18:07:23,ht,PA
05/04/2018 19:01:55,mo,PA
05/04/2018 21:08:39,al,PR
06/04/2018 01:10:56,ni,SP
06/04/2018 08:55:41,vg,SP
07/04/2018 13:03:44,pa,ES
08/04/2018 12:25:00,vi,BA
09/04/2018 08:38:15,ht,SP
09/04/2018 09:39:50,ev,PR
09/04/2018 10:06:18,id,PR
09/04/2018 13:51:10,jo,PR
11/04/2018 23:57:42,el,DF
12/04/2018 23:15:22,ab,RJ
13/04/2018 21:00:41,jo,BA
13/04/2018 23:48:29,ad,SE
30/04/2018 19:43:14,na,CE
06/05/2018 07:59:36,ru,RN
15/05/2018 11:23:40,gb,RS
16/05/2018 20:13:11,o ,SP
18/05/2018 20:03:18,ru,SE
20/05/2018 13:54:45,th,SP
11/06/2018 15:15:07,ru,GO
