data-hora,user_osm,P1. Selecione as opções que você acha que fazem sentido como OBJETIVO da associação,P2. Selecione a melhor frase representativa da MISSÃO da associação,P3. Selecione os melhores candidatos a VALORES gerais da associação,P4. E quanto ao nome da Associação? ,P5. Especificamente quanto à meta futura de se tornar um capítulo da OSM-Foundation
05/05/2018 22:52:53,santamariense,"Representar, através de representante eleito democraticamente, os mapeadores da Comunidade OSM-BR no diálogo institucional com outras associações, governo ou empresas., Representar os demais integrantes da Comunidade OSM-BR, tais como desenvolvedores de softwares e ferramentas OSM-BR ou técnicos de banco de dados que atuam na validação e manutenção dos dados do OSM-BR., Se fazer representar, através especialistas eleitos em grupos de trabalho, assegurando à comunidade OSM-BR uma cadeira em órgãos e comissões do governo e outras instituições, tais como na INDA (Infraestrutura Nacional de Dados Abertos), na ABNT (Associação Brasileira de Normas Técnicas), NIC.br (Núcleo de Informação e Coordenação do Ponto BR), W3C-Brasil, e similares, Adquirir e manter infra-estrutura adicional, atendendo a necessidades mais específicas da Comunidade OSM-BR., Servir de ""encubadora"" de novos projetos técnicos e novas iniciativas de mapeamento., Contribuir para a formação de um patrimônio de dados orientados a sua missão, estabelecendo dentro ou fora da associação meios de preservação digital., Captar e gerenciar fundos para a sustentabilidade da associação e contemplar seus objetivos., Tornar o OSM mais visível como entidade no Brasil e com maior força para liberação de informações nos órgãos públicos., Difundir o OSM e seu valores no Brasil., Organizar eventos da OSM-Foundation no Brasil., Incentivar o crescimento, desenvolvimento e distribuição de dados geoespaciais livres.","Promover a abertura, fusão, construção colaborativa e preservação de dados espaciais de utilidade pública para o Brasil","Qualidade do mapa, Dados abertos, Empreendedorimo, Transparência, Respeito, acolhimento e tolerância, Conhecimento livre, Ética",OpenStreetMap Brasil,
06/05/2018 07:40:46,Marcos Medeiros,"Padronizar as atividades dos mapeadores e decisões no escopo Brasil junto à OSM-Foundation, à Wiki e demais instâncias ""legislativas"" internacionais da comunidade OSM., Difundir o OSM e seu valores no Brasil., Incentivar o crescimento, desenvolvimento e distribuição de dados geoespaciais livres.",Dar aos brasileiros o poder do conhecimento geoespacial e aproximar os mapeadores.,"Dados abertos, Respeito, acolhimento e tolerância, Ética",OpenStreetMap Brasil,"SIM, essa é uma meta importante a ser prevista desde já no Estatuto, mesmo sabendo que precisaremos alterá-lo (incluir cláusulas) o dia que formos aprovados como capítulo."
06/05/2018 08:58:56,Márcio Vínícius Pinheiro,"Se fazer representar, através especialistas eleitos em grupos de trabalho, assegurando à comunidade OSM-BR uma cadeira em órgãos e comissões do governo e outras instituições, tais como na INDA (Infraestrutura Nacional de Dados Abertos), na ABNT (Associação Brasileira de Normas Técnicas), NIC.br (Núcleo de Informação e Coordenação do Ponto BR), W3C-Brasil, e similares, Servir de ""encubadora"" de novos projetos técnicos e novas iniciativas de mapeamento., Contribuir para a melhora da qualidade dos dados orientados a sua missão, estabelecendo normas de controle e níveis de maturidade., Captar e gerenciar fundos para a sustentabilidade da associação e contemplar seus objetivos., Padronizar as atividades dos mapeadores e decisões no escopo Brasil junto à OSM-Foundation, à Wiki e demais instâncias ""legislativas"" internacionais da comunidade OSM., Tornar o OSM mais visível como entidade no Brasil e com maior força para liberação de informações nos órgãos públicos., Difundir o OSM e seu valores no Brasil., Organizar eventos da OSM-Foundation no Brasil., Incentivar o crescimento, desenvolvimento e distribuição de dados geoespaciais livres.","Promover a abertura, fusão, construção colaborativa e preservação de dados espaciais de utilidade pública para o Brasil","Qualidade do mapa, Dados abertos, Unidade, Conhecimento livre, Unidade",OpenStreetMap Brasil,"Talvez, DEPENDE DE MAIS DISCUSSÃO,  precisaremos de uma discussão e votação só para isso."
06/05/2018 10:01:58,alan77,"Incentivar o crescimento, desenvolvimento e distribuição de dados geoespaciais livres.",Dar aos brasileiros o poder do conhecimento geoespacial e aproximar os mapeadores.,"Dados abertos, Transparência, Conhecimento livre",OpenStreetMap Brasil,"Talvez, DEPENDE DE MAIS DISCUSSÃO,  precisaremos de uma discussão e votação só para isso."
06/05/2018 10:16:02,altmannbruno,"Representar, através de representante eleito democraticamente, os mapeadores da Comunidade OSM-BR no diálogo institucional com outras associações, governo ou empresas., Representar os demais integrantes da Comunidade OSM-BR, tais como desenvolvedores de softwares e ferramentas OSM-BR ou técnicos de banco de dados que atuam na validação e manutenção dos dados do OSM-BR., Se fazer representar, através especialistas eleitos em grupos de trabalho, assegurando à comunidade OSM-BR uma cadeira em órgãos e comissões do governo e outras instituições, tais como na INDA (Infraestrutura Nacional de Dados Abertos), na ABNT (Associação Brasileira de Normas Técnicas), NIC.br (Núcleo de Informação e Coordenação do Ponto BR), W3C-Brasil, e similares, Adquirir e manter infra-estrutura adicional, atendendo a necessidades mais específicas da Comunidade OSM-BR., Servir de ""encubadora"" de novos projetos técnicos e novas iniciativas de mapeamento., Contribuir para a melhora da qualidade dos dados orientados a sua missão, estabelecendo normas de controle e níveis de maturidade., Contribuir para a formação de um patrimônio de dados orientados a sua missão, estabelecendo dentro ou fora da associação meios de preservação digital., Captar e gerenciar fundos para a sustentabilidade da associação e contemplar seus objetivos., Padronizar as atividades dos mapeadores e decisões no escopo Brasil junto à OSM-Foundation, à Wiki e demais instâncias ""legislativas"" internacionais da comunidade OSM., Tornar o OSM mais visível como entidade no Brasil e com maior força para liberação de informações nos órgãos públicos., Difundir o OSM e seu valores no Brasil., Organizar eventos da OSM-Foundation no Brasil., Incentivar o crescimento, desenvolvimento e distribuição de dados geoespaciais livres.","Promover a abertura, fusão, construção colaborativa e preservação de dados espaciais de utilidade pública para o Brasil","Qualidade do mapa, Dados abertos, Transparência, Respeito, acolhimento e tolerância",Associação OpenStreetMap do Brasil,"SIM, essa é uma meta importante a ser prevista desde já no Estatuto, mesmo sabendo que precisaremos alterá-lo (incluir cláusulas) o dia que formos aprovados como capítulo."
06/05/2018 10:16:24,ppKrauss,"Representar, através de representante eleito democraticamente, os mapeadores da Comunidade OSM-BR no diálogo institucional com outras associações, governo ou empresas., Representar os demais integrantes da Comunidade OSM-BR, tais como desenvolvedores de softwares e ferramentas OSM-BR ou técnicos de banco de dados que atuam na validação e manutenção dos dados do OSM-BR., Se fazer representar, através especialistas eleitos em grupos de trabalho, assegurando à comunidade OSM-BR uma cadeira em órgãos e comissões do governo e outras instituições, tais como na INDA (Infraestrutura Nacional de Dados Abertos), na ABNT (Associação Brasileira de Normas Técnicas), NIC.br (Núcleo de Informação e Coordenação do Ponto BR), W3C-Brasil, e similares, Servir de ""encubadora"" de novos projetos técnicos e novas iniciativas de mapeamento., Contribuir para a melhora da qualidade dos dados orientados a sua missão, estabelecendo normas de controle e níveis de maturidade., Contribuir para a formação de um patrimônio de dados orientados a sua missão, estabelecendo dentro ou fora da associação meios de preservação digital., Captar e gerenciar fundos para a sustentabilidade da associação e contemplar seus objetivos., Padronizar as atividades dos mapeadores e decisões no escopo Brasil junto à OSM-Foundation, à Wiki e demais instâncias ""legislativas"" internacionais da comunidade OSM., Difundir o OSM e seu valores no Brasil., Organizar eventos da OSM-Foundation no Brasil., Incentivar o crescimento, desenvolvimento e distribuição de dados geoespaciais livres.","Promover a abertura, fusão, construção colaborativa e preservação de dados espaciais de utilidade pública para o Brasil","Qualidade do mapa, Dados abertos, Empreendedorimo, Transparência, Respeito, acolhimento e tolerância, Conhecimento livre, Pragmatismo, Ética",OpenStreetMap Brasil,"SIM, essa é uma meta importante a ser prevista desde já no Estatuto, mesmo sabendo que precisaremos alterá-lo (incluir cláusulas) o dia que formos aprovados como capítulo."
06/05/2018 10:40:30,Patrícia Leal,"Servir de ""encubadora"" de novos projetos técnicos e novas iniciativas de mapeamento., Contribuir para a melhora da qualidade dos dados orientados a sua missão, estabelecendo normas de controle e níveis de maturidade., Contribuir para a formação de um patrimônio de dados orientados a sua missão, estabelecendo dentro ou fora da associação meios de preservação digital., Difundir o OSM e seu valores no Brasil., Incentivar o crescimento, desenvolvimento e distribuição de dados geoespaciais livres.","Promover a abertura, fusão, construção colaborativa e preservação de dados espaciais de utilidade pública para o Brasil","Dados abertos, Respeito, acolhimento e tolerância, Criar potências para novos e outros mapeamentos, além daqueles tradicionalmente estabelecidos.",OpenStreetMap Brasil,"SIM, essa é uma meta importante a ser prevista desde já no Estatuto, mesmo sabendo que precisaremos alterá-lo (incluir cláusulas) o dia que formos aprovados como capítulo."
06/05/2018 11:02:53,naoliv,"Difundir o OSM e seu valores no Brasil., Organizar eventos da OSM-Foundation no Brasil.",Representar os interesses de nossos associados.,"Dados abertos, Unidade, Transparência, Respeito, acolhimento e tolerância, Conhecimento livre, Unidade, Ética",OpenStreetMap Brasil,"SIM, essa é uma meta importante a ser prevista desde já no Estatuto, mesmo sabendo que precisaremos alterá-lo (incluir cláusulas) o dia que formos aprovados como capítulo."
06/05/2018 11:20:23,virgilinojuca,"Representar, através de representante eleito democraticamente, os mapeadores da Comunidade OSM-BR no diálogo institucional com outras associações, governo ou empresas., Se fazer representar, através especialistas eleitos em grupos de trabalho, assegurando à comunidade OSM-BR uma cadeira em órgãos e comissões do governo e outras instituições, tais como na INDA (Infraestrutura Nacional de Dados Abertos), na ABNT (Associação Brasileira de Normas Técnicas), NIC.br (Núcleo de Informação e Coordenação do Ponto BR), W3C-Brasil, e similares, Servir de ""encubadora"" de novos projetos técnicos e novas iniciativas de mapeamento., Padronizar as atividades dos mapeadores e decisões no escopo Brasil junto à OSM-Foundation, à Wiki e demais instâncias ""legislativas"" internacionais da comunidade OSM., Tornar o OSM mais visível como entidade no Brasil e com maior força para liberação de informações nos órgãos públicos., Difundir o OSM e seu valores no Brasil., Organizar eventos da OSM-Foundation no Brasil.","Promover a abertura, fusão, construção colaborativa e preservação de dados espaciais de utilidade pública para o Brasil","Qualidade do mapa, Dados abertos, Empreendedorimo, Respeito, acolhimento e tolerância, Conhecimento livre, Pragmatismo",Associação Brasileira do OpenStreetMap,"NÃO, é irrelevante por hora, precisamos ""crescer e aparecer primeiro"", discutiremos e mudaremos o Estatuto depois se for o caso e se formos aprovados para isso."
06/05/2018 12:02:32,Josafá Santos,"Representar os demais integrantes da Comunidade OSM-BR, tais como desenvolvedores de softwares e ferramentas OSM-BR ou técnicos de banco de dados que atuam na validação e manutenção dos dados do OSM-BR., Servir de ""encubadora"" de novos projetos técnicos e novas iniciativas de mapeamento., Tornar o OSM mais visível como entidade no Brasil e com maior força para liberação de informações nos órgãos públicos.","Promover a abertura, fusão, construção colaborativa e preservação de dados espaciais de utilidade pública para o Brasil","Qualidade do mapa, Empreendedorimo, Conhecimento livre",OpenStreetMap Brasil,"NÃO, é irrelevante por hora, precisamos ""crescer e aparecer primeiro"", discutiremos e mudaremos o Estatuto depois se for o caso e se formos aprovados para isso."
