data-hora,user_osm,Qual cidade você acha mais adequada para sediar a Associação? (foram listadas as cidades com mais representantes e DF),Quem pode ser associado? Só habitante brasileiro ou habitantes de outros países?,"Quem pode ser associado, só quem se deu ao mínimo trabalho de ter login no OSM e entender o que é o OSM, ou qualquer um?","A OSM-BR precisa ter um ""departamento de apoio aos interesses de empreendimentos e empreendedores segmento Geo-livre""?","Você acha que a associação deve ser composta apenas de pessoas físicas (CPF), ou que vale ter alguma modalidade de participação efetiva dos empreendimentos e entidades (CNPJ) do setor que se afinem com nossa missão?","Os associados serão obrigados a pagar anualidade? [chutemos algo entre R$10 a R$50 por ANO, e  justificando-se quem não puder pagar]","Deve-se permitir que o dinheiro doado, depois de tomados 15% de apoio à manutenção,  tenha sua destinação decidida pelo doador (projetos e/ou eventos de sua escolha)?"
20/05/2018 10:59:06,,São Paulo (SP),BR porém aberta a outros que tenham demonstrado contribuições para o Brasil (o Conselho Fiscal julgaria essas raras excecoes).,"Só quem tem login, não tem nada de restritivo nisso, é básico.",(não entendi ou precisamos discutir melhor),"CPF e CNPJ sem restrições. Empresas e instituições do governo também podem participar desde que com apenas 1-voto, e tendo seu representante previamente aprovado como associado.","SIM, todos devem contribuir para a sustentabilidade da Associação","SIM, isso é mais democrático e incentiva os doadores por garantirem que o dinheiro vai onde deseja, sem intermediários e sem demora na decisão."
20/05/2018 12:18:29,Anderson Luciano,São Paulo (SP),BR porém aberta a outros que tenham demonstrado contribuições para o Brasil (o Conselho Fiscal julgaria essas raras excecoes).,"Só quem tem login, não tem nada de restritivo nisso, é básico.",(não entendi ou precisamos discutir melhor),"Só CPF,  CNPJ restrito a pequenos empreendimentos. Por exemplo os mapeadores podem ser também Microempreendedores Individuais (MEIs), ou representantes de pequenas associações.","SIM, todos devem contribuir para a sustentabilidade da Associação","SIM, isso é mais democrático e incentiva os doadores por garantirem que o dinheiro vai onde deseja, sem intermediários e sem demora na decisão."
20/05/2018 13:12:02,RAFAEL MAIA QRA NEGOCIADOR,Rio de Janeiro (RJ),"Sem restrições ou critérios, mesmo que simples e objetivos.","Só quem tem login, não tem nada de restritivo nisso, é básico.","SIM, podemos até aproveitar o dominio openstreetmap.com.br para isso, diferenciando com clareza (do .org.br) por exemplo a divulgação de mapeadores profissionais.","CPF e CNPJ sem restrições. Empresas e instituições do governo também podem participar desde que com apenas 1-voto, e tendo seu representante previamente aprovado como associado.","SIM, todos devem contribuir para a sustentabilidade da Associação","SIM, isso é mais democrático e incentiva os doadores por garantirem que o dinheiro vai onde deseja, sem intermediários e sem demora na decisão."
20/05/2018 15:21:00,ppKrauss,São Paulo (SP),BR porém aberta a outros que tenham demonstrado contribuições para o Brasil (o Conselho Fiscal julgaria essas raras excecoes).,"Além de ter login precisa demonstrar que editou mapas um pouquinho na vida, que não é ""paraquedista"" nem fez vandalismo.","SIM, podemos até aproveitar o dominio openstreetmap.com.br para isso, diferenciando com clareza (do .org.br) por exemplo a divulgação de mapeadores profissionais.","CPF e CNPJ sem restrições. Empresas e instituições do governo também podem participar desde que com apenas 1-voto, e tendo seu representante previamente aprovado como associado.","SIM, todos devem contribuir para a sustentabilidade da Associação","SIM, isso é mais democrático e incentiva os doadores por garantirem que o dinheiro vai onde deseja, sem intermediários e sem demora na decisão."
20/05/2018 15:28:49,smaprs,São Paulo (SP),BR porém aberta a outros que tenham demonstrado contribuições para o Brasil (o Conselho Fiscal julgaria essas raras excecoes).,"Só quem tem login, não tem nada de restritivo nisso, é básico.","Pode, mas não necessariamente como dever. Não deve se comprometer a financiar empreendimentos particulares.","CPF e CNPJ sem restrições. Empresas e instituições do governo também podem participar desde que com apenas 1-voto, e tendo seu representante previamente aprovado como associado.",o direito de voto e ser votado ficam condicionados a estar em dia com anuidade,A discutir melhor
20/05/2018 23:22:09,almeidalz,Curitiba (PR),BR porém aberta a outros que tenham demonstrado contribuições para o Brasil (o Conselho Fiscal julgaria essas raras excecoes).,"Além de ter login precisa demonstrar que editou mapas um pouquinho na vida, que não é ""paraquedista"" nem fez vandalismo.","NAO, apesar de serem  nobres as intensões de usar o OSM de forma mais profissional, não devemso ""contaminar"" a  OSM-BR  com isso.","CPF e CNPJ sem restrições. Empresas e instituições do governo também podem participar desde que com apenas 1-voto, e tendo seu representante previamente aprovado como associado.","NÃO, nada de obrigar associados pagarem sequer um valor simbólico.","SIM, isso é mais democrático e incentiva os doadores por garantirem que o dinheiro vai onde deseja, sem intermediários e sem demora na decisão."
21/05/2018 12:34:21,gbschenkel,Porto Alegre (RS),BR porém aberta a outros que tenham demonstrado contribuições para o Brasil (o Conselho Fiscal julgaria essas raras excecoes).,"Além de ter login precisa demonstrar que editou mapas um pouquinho na vida, que não é ""paraquedista"" nem fez vandalismo.","SIM, podemos até aproveitar o dominio openstreetmap.com.br para isso, diferenciando com clareza (do .org.br) por exemplo a divulgação de mapeadores profissionais.","Só CPF,  CNPJ restrito a pequenos empreendimentos. Por exemplo os mapeadores podem ser também Microempreendedores Individuais (MEIs), ou representantes de pequenas associações.","SIM, todos devem contribuir para a sustentabilidade da Associação","SIM, isso é mais democrático e incentiva os doadores por garantirem que o dinheiro vai onde deseja, sem intermediários e sem demora na decisão."
21/05/2018 13:00:16,raphaelmirc,Porto Alegre (RS),"Sem restrições ou critérios, mesmo que simples e objetivos.","Só quem tem login, não tem nada de restritivo nisso, é básico.","SIM, podemos até aproveitar o dominio openstreetmap.com.br para isso, diferenciando com clareza (do .org.br) por exemplo a divulgação de mapeadores profissionais.","CPF e CNPJ sem restrições. Empresas e instituições do governo também podem participar desde que com apenas 1-voto, e tendo seu representante previamente aprovado como associado.","SIM, todos devem contribuir para a sustentabilidade da Associação","SIM, isso é mais democrático e incentiva os doadores por garantirem que o dinheiro vai onde deseja, sem intermediários e sem demora na decisão."
21/05/2018 13:50:38,aln77,São Paulo (SP),"Sem restrições ou critérios, mesmo que simples e objetivos.","Livre, sem restrições, todo mundo pode se tornar associado.",(não entendi ou precisamos discutir melhor),"CPF e CNPJ sem restrições. Empresas e instituições do governo também podem participar desde que com apenas 1-voto, e tendo seu representante previamente aprovado como associado.","NÃO, nada de obrigar associados pagarem sequer um valor simbólico.","SIM, isso é mais democrático e incentiva os doadores por garantirem que o dinheiro vai onde deseja, sem intermediários e sem demora na decisão."
21/05/2018 18:55:31,vgeorge,São Paulo (SP),"Sem restrições ou critérios, mesmo que simples e objetivos.","Só quem tem login, não tem nada de restritivo nisso, é básico.",(não entendi ou precisamos discutir melhor),"CPF e CNPJ sem restrições. Empresas e instituições do governo também podem participar desde que com apenas 1-voto, e tendo seu representante previamente aprovado como associado.","SIM, todos devem contribuir para a sustentabilidade da Associação","NAO, precisa ser decisão da diretoria ou de uma curadoria."
