data-hora,user_osm,P1. Conferindo. Você leu o Estatuto proposto no link indicado antes de responder as questões abaixo?,"P2. Tamanho. O texto do Estatuto tem por volta de 3000 palavras (de duas ou mais letras) distribuídas entre 9 capítulos, e ignorando-se o anexo. Estatutos de associações brasileiras honestas e transparentes possuem entre ~2500 e ~5000 palavras... Ainda assim muita  gente acha longo, e você, o que acha? ",P3. O texto está legível e sua redação dentro do esperado para um Estatuto brasileiro?,P4. Comparando. Gostaria de sugerir o link do Estatuto de outra Associação que considera um bom modelo? (deixar vazio ou indicar URL),"P5. Em linhas gerais, CONCORDA com tudo, está dentro da sua expectativa?","P6. Se achar necessário, indique o número de uma cláusula que poderia ser removida","P7. Se achar necessário, sugira o texto de uma cláusula que julga necessário acrescentar.","P8. Se achar necessário, indique cláusulas e respectivas alterações sugeridas.",P9. Comentário livre
27/06/2018 09:20:28,Eduardo Addad de Oliveira,"SIM, li por alto (ou numa tela de celular)","RAZOÁVEL, podemos deixar assim.","SIM, do ponto de vista apenas redação, está ótimo.",Nada ,"SIM, reflete o que discutimos/votamos e estou satisfeita/o com o resultado.",,,,
27/06/2018 09:35:14,almeidalz,"SIM, li com atenção numa tela apropriada.","RAZOÁVEL, podemos deixar assim.","SIM, do ponto de vista apenas redação, está ótimo.",Não,"SIM, reflete o que discutimos/votamos e estou satisfeita/o com o resultado.",,,,"Esta de acordo, fiz pequenas correções e sugestões no texto, espero ter contribuído nesse importante momento de construção do estatuto."
27/06/2018 14:49:29,ThierryAJEAN,"SIM, li com atenção numa tela apropriada.",está BOM como está.,"SIM, do ponto de vista apenas redação, está ótimo.",https://erroai.com.br,"SIM, reflete o que discutimos/votamos e estou satisfeita/o com o resultado.",,,,
27/06/2018 20:52:55,santamariense,"SIM, li com atenção numa tela apropriada.","RAZOÁVEL, podemos deixar assim.","SIM, do ponto de vista apenas redação, está ótimo.",,"SIM, acho razoável como está.",,,"Tabela 4.4.B.1 - O valor poderia ser em função do salário mínimo nacional, de modo que não precise ser corrigido a cada reajuste.","Se possível, desde que não perca sua credibilidade, o estatuto poderia ser compactado. Parece que é tão maior o custo com advogados quanto maior for o texto. Fazer um folder explicativo amigável a respeito da dinâmica da associação para que leigos possam melhor compreender."
28/06/2018 06:32:16,Marcos_Medeiros,"SIM, li por alto (ou numa tela de celular)","RAZOÁVEL, podemos deixar assim.","SIM, do ponto de vista apenas redação, está ótimo.",,"SIM, acho razoável como está.",,,,
28/06/2018 11:14:59,Lex Martins,"SIM, li com atenção numa tela apropriada.","RAZOÁVEL, podemos deixar assim.","SIM, do ponto de vista apenas redação, está ótimo.",,"SIM, acho razoável como está.",,,,
28/06/2018 12:11:56,StGutem,"SIM, li com atenção numa tela apropriada.","RAZOÁVEL, podemos deixar assim.","SIM, do ponto de vista apenas redação, está ótimo.",,"NÃO, não posso concordar.",,,,
29/06/2018 09:49:02,altmannbruno,"SIM, li com atenção numa tela apropriada.",está BOM como está.,"SIM, do ponto de vista apenas redação, está ótimo.",,"SIM, reflete o que discutimos/votamos e estou satisfeita/o com o resultado.",,,,
29/06/2018 10:31:39,ElementoGEO,"SIM, li com atenção numa tela apropriada.","RAZOÁVEL, podemos deixar assim.","SIM, do ponto de vista apenas redação, está ótimo.",http://www.ascemanacional.org.br/wp-content/uploads/2014/09/Estatuto-Ascema-Nacional-Registrado2014.pdf,"SIM, acho razoável como está.",,,,"Além da capitulação, todos os itens poderiam ser colocados com numeração de artigos. "
29/06/2018 16:19:58,EvertonBortolini,"SIM, li com atenção numa tela apropriada.",está BOM como está.,"SIM, do ponto de vista apenas redação, está ótimo.",,"SIM, reflete o que discutimos/votamos e estou satisfeita/o com o resultado.",,,,
29/06/2018 19:42:17,Rneves,"SIM, li com atenção numa tela apropriada.","RAZOÁVEL, podemos deixar assim.","SIM, do ponto de vista apenas redação, está ótimo.",http://www.abessoftware.com.br/a-abes/estatuto-social,"SIM, acho razoável como está.",,Inseri ao final do texto um parágrafo sobre remuneração de diretores e conselheiros.  Creio que seria necessário especificar também que membros do conselho fiscal não podem fazer parte da diretoria executiva.,,
29/06/2018 20:20:47,alan77,"NÃO li, vou lendo conforme respondo.","RAZOÁVEL, podemos deixar assim.",Não sei avaliar.,,"NÃO, não posso concordar.",,,,
